start_time,stop_time,speaker,value
236.6,247.6,Teacher,是没有的，那么鱼它最开始的变化是减少的，咱们经过调节之后是抑制和减弱了飞出的这个变化，使生态系统达到了平衡，
247.6,252,Teacher,咱们这个信息去抑制和减弱他的工作，这属于一个什么样的调节？
252,253.1,Teacher,之前学过的？
253.1,262.5,Teacher,大声说出来，知道都说出来是负反馈调节，那么这个负反馈调节就是生态系统自我调节能力的基础，
263.2,264,Teacher,嗯
284,295.2,Teacher,那咱们分析了从草到鱼，这都是属于生物群落内部，吧生物群落内部是存在着负反馈调节的，那么生态系统它除了生物群落，还有它的
295.2,302.3,Teacher,无机环境，那么生态生物群落跟无机环境之间是不是也存在着这种无法可以调节呢？
302.3,311.8,Teacher,也有，那么来看一个例子，这个是森林它遭受了局部火灾，然后又恢复的这样一张图片，那咱们来看一下森林它是如何调节的？
311.8,322.9,Teacher,一起来看一下，啊首先遭遇大火之后，这个森林它的种群密度会降低，别墅被烧毁了，对不对？那么树烧毁了之后，阳光带照的这片森林之后，
322.9,330.4,Teacher,更多的阳光就倒到了土壤上，另外这个地上的森林被烧毁，余下的灰烬都属于一些什么成分？
330.4,338.7,Teacher,是无机盐吧，那么无机盐就是养分，也就是说它的光照会更加的充足，养分会更加的丰富。
338.7,342.6,Teacher,那么地上的这些森林烧毁了之后，地下剩余的还有
342.6,351.4,Teacher,种子和繁殖体，那么剩下种子和繁殖体，这些就为它的萌发提供了好的条件，所以种子的萌发
351.4,361.8,Teacher,总的萌发长成大树之后，这个森林的密度就会升高了，依旧是抑制了它最初的变化，所以这也是一个不反馈调节，那么不
361.8,371.8,Teacher,不仅生物群落内部是有负反馈调节的，生物群落它跟无机环境之间也是有负反馈调节的，那么这个负反馈调节它就是
371.8,378.2,Teacher,普遍存在于生态系统之中的，它是生态系统自我调节能力的基础，
378.2,382.4,Teacher,那么咱们学了一系列的概念了，咱们再来捋一下它们之间的关系。
382.4,387.7,Teacher,首先咱们学了生态系统的稳定性，生态系统具有稳定性的原因是什么？
388.1,398.4,Teacher,是他具有自我调节能力，那他自我调节能力的基础就是什么？是不反馈调节，这个一定不要搞混了，
398.7,407.3,Teacher,这个要记清楚了，那么是不是他有这个自我调节能力了，我们就能无限制的去破坏这个生态系统了，
407.3,411.5,Teacher,可不可以？啊不是，那么大家呢再通过一个例子来学习，
412.2,421.4,Teacher,这个生态系统它既然是具有自我调节能力的，为什么工业废水排到这个生态系统中的时候，这个生态系统它就崩溃了？
421.5,432.8,Teacher,它不是有自我调节能力吗？超出范围超出范围了，对非常好，啊那么这个工业废水它跟生活污水就不同了，这个工业废水属于一个
432.8,444.7,Teacher,什么样的污染？还是轻度的吗？对，就是重度污染了，那么既然它是重度污染，它就可能会超出自我调节能力的范围，也就是说这个自我调节能力它是不是无限的，不是它
444.7,446.1,Teacher,它不是无限的。
457.2,469.2,Teacher,那这就提示我们日常生活中如果对生态系统进行利用的话，一定要适度，不能超出它自我调节能力的范围，否则这个生态系统是不是就可能崩溃掉了？
469.2,469.4,Teacher,那
469.4,478.6,Teacher,那么他的自我调节能力既然是不是无限的是有范围的，那么所有的生态系统它的自我调节能力都是一样的吗？
478.6,482.1,Teacher,不是，那它跟什么有关？
482.6,491.1,Teacher,复杂程度什么的复杂程度是对生态系统它结构的复杂程度成怎么相关？
491.1,498.4,Teacher,正相关，也就是说这个生态系统它营养结构越复杂，它的自我调节能力就会
498.4,503.2,Teacher,越强，那么营养结构的复杂程度又与什么有关？
503.4,508.9,Teacher,物种越多它就对物种越多它就越丰富，那么它就是
508.9,514.5,Teacher,用专业一点来说就是物种丰富度，也就是说物种越丰富，它的
514.5,518.8,Teacher,结构就会越复杂，那么他的自我调节能力就会越大。
518.8,519.4,Teacher,嗯
520,525.8,Teacher,那么咱们学府南河它受到污染，回顾一下总共受到了几次污染。
525.8,526.9,Teacher,3
526.9,536.7,Teacher,几次污染，咱们学到的一次生活污水的污染，一次工业污水的污染，那么生活污水污染对他来说就是一个轻度的污染，
537,548.6,Teacher,工业污水呢就是一个重度的污染，那么它们的结果都是什么？当这个生态系统它受到轻度污染的时候，这个生态系统能够维持自身的稳定，
548.6,554.8,Teacher,但是当这个生态系统它受到重度污染的时候，呢它会遭到破坏。嗯
554.8,564.4,Teacher,那在这个时候生态系统分别去调节自身维持稳定的时候，它就分别体现了生态系统稳定性的两种类型。
565,567.4,Teacher,咱们看一下是哪两种类型？
567.5,568.8,Teacher,嗯
572.2,581.4,Teacher,首先当它受到轻度的污染，它经过自身净化依然能够保持清澈，这个时候它是哪种类型？
581.4,593.4,Teacher,是哪种类型？抵抗力、稳定性、那抵抗力、稳定性，它就是指生态系统受到外界的干扰，保持自身结构的功能，保
593.4,599.6,Teacher,保持原状的1个能力，它这个概念的核心可以用8个字来概括，就是
599.6,605.8,Teacher,抵抗干扰保持原状，这个概念里面的关键是干扰这两个字，嗯
605.8,616.3,Teacher,干扰它的程度会很大，还是比较小小干扰的程度会小一些，它没有使生态系统受到损害，吧这个生态系统还是
616.3,617.2,Teacher,正常的。
617.2,621.4,Teacher,那么这就是它第一种类型是抵抗力的面向，
621.8,624,Teacher,谁知
624.3,625.7,Teacher,嗯
626,627,Teacher,嗯
628.3,629.4,Teacher,嗯
637.5,640.9,Teacher,那咱们再来看第二种类型，再看一个例子，
640.9,644.7,Teacher,当府南河它受到重度污染的时候，
644.9,653.8,Teacher,然后工厂停止排污，它又能恢复以前清澈的状态，这个时候它体现的是生态系统哪种类型的稳定性，
653.8,664.9,Teacher,是恢复力稳定性，那么恢复力稳定性指的就是生态系统，它在受到外界干扰因素的破坏后恢复到原状的能力。
664.9,676.6,Teacher,这个概念它的核心是受到破坏，恢复原状，那这个概念里面的核心概念关键点是破坏，嗯那怎么样一个生态系统就是被破坏了。
676.6,680.6,Teacher,它会不会有什么标准，还是从结构跟功能来分析？
680.6,686.5,Teacher,结构方面它的成分有生产者、消费者分解者，它的数量会怎么样？
686.7,691,Teacher,大幅度的减少，会不会增多，会不会有暴涨的可能？
691.7,692.4,Teacher,嗯
692.8,694.6,Teacher,什么
694.6,705.9,Teacher,水华赤潮它都是大幅度增长，可能也可能会大幅度的增长，那它的营养结构有食物网和食物链就断裂了，那从功能方面进行分析。呢
707,707.7,Teacher,选择
707.7,714.7,Teacher,它的三大功能可能会受阻，嗯不能正常的进行，这都是被破坏的标准。
714.9,719.4,Teacher,这个是第二种类型，是恢复力稳定性。
733.8,740.9,Teacher,那接下来我们来判断一下这些情形哪一些属于抵抗力稳定性，哪一些属于恢复力稳定性。
740.9,742.3,Teacher,首先看第一个，
742.3,746.3,Teacher,森林局部火灾恢复原状属于哪一个门店箱？
746.6,752.9,Teacher,是什么？恢复力稳定性。第二个呢草原受到蝗虫的采食，
753.1,755.9,Teacher,它是什么文件箱？
756.7,758.4,Teacher,它可以破坏了吗？
758.6,763.6,Teacher,嗯看它是抵抗力稳定性跟恢复力，稳定性就看它有没有被破坏，对不对？
763.6,766.1,Teacher,第二个它有没有被破坏，有没有什么？
766.1,767.4,Teacher,在省
767.9,770.3,Teacher,它没有减少的很多，它的
770.3,779.2,Teacher,再生能力是指它要多生一点，但并不是说它全部没有了，并没有大幅度的减少又破坏了标准。
779.2,780.2,Teacher,在唱会后
780.4,783.3,Teacher,再生再生不是父母，啊他是
783.5,785.8,Teacher,他如果死了他怎么再生？呀
785.8,793.9,Teacher,是不是有一定的生活力它才代收出来，对不对？嗯那这个是什么稳定性，有没有被破坏掉，这个生态系统的数量？
793.9,798.5,Teacher,没有，所以它是一个什么？稳定性、抵抗力、稳定性。啊第三个。
798.5,799.1,Teacher,呢
799.7,802.8,Teacher,第三个也是抵抗力稳定性。
803.2,804.6,Teacher,嗯那么
804.6,812.6,Teacher,抵抗力稳定性跟恢复力稳定性，它的大小又与什么因素有关，受哪些因素的影响？我们来看这样一个问题。
813.4,823.2,Teacher,老师呈现的这两个生态系统明显一号又比二号更复杂一些，那么现在我把这两个生态系统里面的数都给它赶尽杀绝之后，
823.2,825.7,Teacher,对哪个生态系统的影响会更大一些？
825.8,838.4,Teacher,二号因为二号的鼠如果被捕杀完毕之后，这个二号整个的生态系统都会崩溃掉了，它的食物链全部断裂了，高营养级的这些生物还有食物来源吗？
838.4,841.3,Teacher,直接会崩溃掉，但是对于一号呢
842,854.7,Teacher,一号它这些高营养鸡除了吃这个鼠还能吃什么？还能吃兔之类的，那么也就是说鼠在这个食物网中的地位就可以由兔直接跟它同营养级的生物所替代，
854.7,858.8,Teacher,那么这个生态系统就能够维持一个稳定。
858.8,867.6,Teacher,那么我们可以分析出这两个生态系统，一个复杂的一个简单的，它们两个哪个的抵抗力稳定性会更高一些，
867.6,878.8,Teacher,复杂的还是简单的复杂的，那我们可以得出结论，一般来说生态系统它的组分越多，营养结构越复杂，它的自我调节能力就会
878.8,882.4,Teacher,越强越强越强，然后抵抗力稳定性就会啊
882.9,888.4,Teacher,越高越强都可以，哈那如果我们用数学模型对它来进行表示，
888.4,896.7,Teacher,我以营养结构的复杂程度为横坐标，以抵抗力稳定性为纵坐标，那它是一个什么样的曲线？
896.7,898.6,Teacher,谁知
899,902,Teacher,不是正比例正比例是什么意思？啊
902.4,907.1,Teacher,正比例是一场啊直线，并且这个角还得是45度。
907.1,908.8,Teacher,他有这么严格吗？
908.8,914.8,Teacher,它肯定就是一个上升的曲线，而且这个曲线只能是定性的，不能定量的。
914.8,915.5,Teacher,嗯
915.5,919.9,Teacher,也不一定是s型来定性哈，就是一个上升的曲线，
919.9,922,Teacher,这是他的一个图像。
960.2,962.6,Teacher,那咱们再来看恢复力稳定性，
962.8,968.3,Teacher,同样是这两个生态系统，哪一个生态系统它的恢复力稳定性会高一些？
969.6,970.4,Teacher,噢
970.4,971.7,Teacher,嗯
971.8,976.5,Teacher,哪一个会高一些？2，有没有认为是的？
976.5,985.8,Teacher,都认为是二哈，同学们对这部分知识掌握的还是比较好的，那么为什么是二号它恢复的稳定性会更高一些，它容易恢复。
985.8,992.7,Teacher,那我们看二号生态系统，它如果给它恢复的话，需要恢复几条食物链，一共有几条食物链？这个
992.7,996.3,Teacher,有两条，那如果我恢复一毫升哪一条？呢
996.3,1007.5,Teacher,查不过来，老师给你们查了哈是这个生态系统你要恢复的话，需要恢复11条食物链，那必然是这个复杂的生态系统它更难恢复一些。
1007.5,1018.6,Teacher,那这两个的恢复力稳定性就是简单的它恢复力稳定性会更高一些，那我们可以得出结论，一般来说生态系统它的组分越少，营养结构越简单，
1018.6,1020.8,Teacher,它的恢复与稳定性就会
1021,1027.7,Teacher,越高，对就越强，嗯那么我们继续以数学模型来进行表示，这个现在应该怎么画啊？
1027.7,1030,Teacher,是不是下降的趋势？啊嗯
1030.2,1031.2,Teacher,嗯
1039.1,1047.6,Teacher,那如果一个生态系统它的恢复力稳定性高，第一个特点就是它的股份少，营养结构简单，会不会还有其他的特点？
1047.6,1049.6,Teacher,老师给大家提示一下哈
1050,1050.7,Teacher,啊
1050.9,1059.1,Teacher,老师给大家提示一下，如果一个生态系统森林跟草原，他们两个同样遭受火灾之后，哪一个恢复的会快一些？
1059.1,1070.4,Teacher,是草原，那原因就是草原中草的数量要比森林中要多很多，那我要全部的把草原里面的草给它斩草除根就比较困难，
1070.4,1080.7,Teacher,很可能是不是就在遗漏了边边角角里面的草，那么这个草它又有很强的繁殖能力，同学们说野火烧不见，春风吹又生，那么
1080.9,1092,Teacher,第二年这个草原就会生出一些一年生多年生的草，本来也就是说它一旦落下了一颗两颗草，第二年是不是就繁殖出了一片草原来，所以它的恢复力稳定性是更
1092,1102.6,Teacher,更高的，也就是说恢复力稳定性它高的一个生态系统，它有这样的特点，它生物的个体会更小，数量会更多，然后它的更容易繁殖生
1102.6,1104.3,Teacher,生长周期会短一些。
1104.3,1113.9,Teacher,嗯那么咱们来比较一下这森林草原跟农田，他们的抵抗力稳定性跟恢复力稳定性，首先看抵抗力稳定性对
1113.9,1121.2,Teacher,最高的是哪个？生态系统是森林，然后最低的是农田，最低的是什么？
1121.2,1128,Teacher,农田，然后居中的这个较强的就是草原了，那么恢复力稳定性呢最高的是
1128,1133.3,Teacher,搞得整个问题农田，然后最低的呢分量
1133.3,1138.5,Teacher,较强的就是这个草原，那现在会判断了哈，咱们来看这个图，
1138.9,1147,Teacher,随着营养结构它越来越复杂，它这个抵抗力稳定性会越来越高，恢复力稳定性会越来越低。
1147,1149.8,Teacher,那一般来说对于同一个生态系统来说，
1149.8,1158.4,Teacher,如果他的抵抗力稳定性要低的话，那恢复力稳定性就会怎么样？会高一些，那这一般来说有没有什么特例它是不符合这样关系的。
1158.5,1161.1,Teacher,有双d的
1161.5,1172,Teacher,裁员，生态系统非常棒，啊除了裁员还有荒漠生态系统，那咱们来分析这两个生态系统它的稳定性，首先抵抗力稳定性这两个生态系统都会
1172,1179.5,Teacher,低，因为它的组分很少，嗯结构也简单，是它的原因，那它的恢复力稳定性呢
1181.7,1184,Teacher,也是d这是为什么？
1185.9,1197.2,Teacher,这是因为寒冷，对我听到了啊有人说寒冷非常好，这个苔原它是在北极，啊所以它这个生态系统是很冷呀这个地方，那么这些生物是什么？
1197.2,1198.5,Teacher,就苔原的这些生物是
